INS00,INS01,INS02,INS03,INS04,INS05,INS06,INS07,INS08,INS09,INS10,INS11,INS12,INS13,INS14,INS15,INS16,INS17,INS18,INS19,INS20,INS21,INS22,INS23,INS24,INS25,INS26,INS27,INS28,INS29,INS30,INS31,INS32,INS33,INS34,INS35,INS36,INS37,INS38,INS39,INS40,INS41,INS42,INS43,INS44,INS45,INS46,INS47,INS48,INS49
458812,372586,3061694,1666760,524223,284273,2885731,137729,1516318,1034321,1091006,487722,455097,569010,527917,1831719,317166,426529,676184,1621276,856940,1246322,1306043,1733863,770093,1115522,2118610,898512,748876,135778,331741,2038989,4334365,1069913,290248,985192,732384,1221061,707811,2633480,263945,764726,835102,657353,1007181,962917,874292,439519,1066585,1055477
2054701,430901,3898141,1518174,535856,395834,846332,337893,2201617,1526558,762252,485027,3560643,1071621,783504,481281,141384,822035,1950982,1734692,619755,283972,1081011,2067790,1807227,1475660,2535846,614640,364608,388014,346812,1772262,6549313,387403,356246,1379214,610863,3030014,277792,5423379,217434,5027165,1254878,1773115,2504930,857581,1943244,1001960,2971744,1715313
933746,888224,12021387,2033091,1042709,280959,1409651,118805,2406764,750840,2512678,351956,1742525,773789,188899,1079981,104578,5374611,762421,913871,136272,1775486,984890,2139920,667647,1388863,6982153,158950,488436,687347,207290,926856,1771538,506201,983631,396212,1311540,759559,1705142,9063646,420978,2585944,1109847,993667,548873,2022232,1216306,676029,1884485,804468
767353,1117361,2541095,457384,1170759,152863,2063046,360654,1495157,730283,1302848,638711,926922,399261,794838,540845,216117,1781433,746032,923659,495210,184279,624609,2032623,971820,1692605,1103460,483020,595007,243710,337641,1005757,2591265,345345,241229,768980,1191118,1315091,1192204,4602461,206788,1376999,3347231,547431,1136270,833032,2825768,344454,2353177,450609
4510381,381555,5109292,581778,382041,355707,1015020,209807,724679,1758885,1342535,718626,2910656,1669497,2143528,731587,198472,1148619,1641741,387671,173314,1366945,1515753,2316418,1482637,1786064,5209255,568502,746262,629251,260492,504385,3382918,803665,389062,479675,770711,958024,203295,10484329,975141,2706104,6226625,2069511,5439966,1216459,2731479,1535187,1900376,819128
2317259,883028,1987273,1007512,234419,110560,1962133,147594,2448686,2070879,1527186,541888,2890059,879812,846006,632245,101154,1073601,601829,1879713,144400,635620,549456,2042253,1668918,1713101,5027528,213176,879804,619278,653264,1721670,3999427,730684,321547,357527,961617,505826,937534,1661993,604671,2700927,1492771,956515,2446507,656993,3697992,271158,535933,1981980
2861043,292219,711711,664751,551809,263605,1840013,261373,682968,1045133,3836208,529601,910397,360457,2515794,528733,129883,3650779,215291,403221,143905,670000,272695,1217350,1292445,5287116,837562,260023,400374,606685,374732,1737090,17128056,1138218,705077,321281,320337,2385135,1416934,3304728,668136,2440882,793327,984245,2444142,1162340,547236,191287,1280357,812907
728299,432469,2333630,655792,214727,440932,7195980,203505,525636,497009,1460856,884560,1093744,606934,452585,933499,220049,1665401,410610,281607,345701,1603457,1152810,1344262,830618,1916589,2502382,465419,850929,250716,1245984,1514734,3204446,1365279,229841,1483979,722647,523292,355487,1531920,467378,7256712,4513534,306729,1643876,887876,3434025,598719,907473,2254471
900734,852188,1711354,659523,256444,182653,1511864,119155,1107426,490480,2205033,871492,2975059,1369876,798906,788371,77467,1260096,438371,501127,755538,1056962,1154636,2536871,344284,2994007,2869632,871682,501099,424094,374300,448994,5950042,633125,466426,364765,1098333,638706,1129756,1433775,246874,4104417,2088121,285266,1079260,727721,2263029,1426768,1110902,1435183
853438,502911,3026230,562367,700972,63574,1322931,103853,2015814,337369,1774881,375001,1191460,1012918,395344,263383,196501,909844,394328,796982,538090,428811,652711,1538641,1003847,1754945,4353879,352396,348290,199320,248016,621437,4112390,582263,400864,813860,577085,1608910,898191,4137895,808442,1433103,2468672,442292,559590,552408,494371,477215,499111,705124
994045,417928,3580106,581596,292069,268628,2541770,176688,2132957,654661,893259,501966,1364471,447989,321570,778658,145862,580673,476698,757819,196538,235037,423722,560449,1178431,1179339,966209,389703,439697,543343,459102,467889,6497583,318955,273836,238156,406289,1686819,1051154,2119731,1185368,2542613,3881065,1167400,959753,486598,1275192,229331,505327,962235
1539570,398646,1487375,2264563,467205,147198,1711807,147192,2164091,1740235,3460095,1437666,1628287,615011,995317,354545,189812,543415,606128,755784,116755,302043,519994,2416075,1701638,4876351,960468,207167,324708,260580,604510,415839,2263063,1127737,1733144,387628,545032,709392,1029849,3559373,482869,3681526,1961966,542435,2268399,630512,848975,907109,1308960,529489
757569,1017498,3204036,661015,268339,142043,4126902,624222,1293800,535076,1133552,634900,794487,601535,1287984,295191,156925,1950774,1154713,818556,466164,516050,735060,2581394,830549,1942259,2511965,391843,471683,568984,1373637,522990,3040954,1522937,531026,621274,652590,1355257,927378,4802847,642871,1890720,1934887,640223,5406079,985080,1581981,1572268,556731,1854362
832112,298906,1088631,1415154,288507,473974,2880685,126299,794645,485114,1085858,452516,988217,1010958,668394,458420,216811,2680921,928802,203118,312145,680981,585366,1970615,740546,1285188,4141551,611911,995809,159569,717619,1135814,3955965,827420,210858,231275,597869,979154,850731,3168390,419555,924556,1702727,1638352,2361739,2826507,2080731,1464910,1797914,1451645
1328220,1168369,3305399,192344,192751,698829,750879,404575,1724231,1104555,1724134,893837,2244220,460613,745324,1895354,242211,1397428,380396,1328550,302593,864526,748632,1528143,1220156,5024905,1289292,375791,979083,847779,552089,2033283,3975695,874656,596123,1097726,666748,1377759,1297024,8039085,483895,3354282,3427259,612825,1479976,1545943,661002,2091060,2451222,1603353
671516,587069,1202384,1700256,776696,105832,1399290,185591,2556628,1165991,1051919,333586,1788675,1294386,474851,1271427,350741,2152113,569539,1381762,434908,594776,459499,1365386,661934,2339328,2957287,178448,339779,565832,692162,667855,11536923,135714,1743345,964789,681190,1609117,1133060,4064882,714524,2182025,1251868,616059,756127,495346,839552,399547,1616296,645863
1303604,427294,1128700,689380,278397,86608,2334242,83630,2744917,400780,877448,407667,1836639,328708,700096,668712,173683,2935747,799393,1238263,287484,905873,517643,970347,791805,4298231,3323449,238807,239458,655259,1188562,725133,3631991,675576,1046201,606930,2478026,1623634,241379,8817075,445243,3801413,2229524,310598,1473823,673094,1982715,732125,380813,818108
896368,346974,3475192,1249766,349719,151896,1632421,110743,5688543,847963,2253275,301213,4416033,1179863,221170,1177993,139143,509482,669642,679583,638621,1175061,1689885,914907,1916377,2819838,2235282,190438,173567,266058,783824,2321128,6693622,337588,448975,333578,1045593,723082,879040,3345261,200487,1074957,1315760,1176378,1979541,1115980,2512218,668834,771169,327402
1563109,310403,1280410,678258,684718,240615,783151,146249,903375,439910,2659016,429665,1573261,338842,210583,297865,182117,953221,342249,789645,334923,1590656,1033637,1043092,819180,2305750,1213007,283678,116255,317075,1064910,1006984,3520471,323543,423959,294577,547579,806387,491533,2362841,258081,2964112,803270,976847,2701644,1112707,6422613,635532,1418702,745855
1319333,392780,5630061,1714936,247230,345646,2510036,304892,1813760,473939,742043,784923,1739158,650720,779761,722351,139323,707405,1096857,239537,266330,1648246,1465911,671125,2164916,1369387,2916027,717353,856743,177755,829886,1950361,2916227,1127140,809316,641464,478196,752286,932230,7410569,942152,2580086,1365121,609670,2884197,1193345,2747876,1257605,777594,1978390
3439173,191014,1600166,946198,164727,183950,1355512,298934,2863990,1442519,1410029,976557,1199331,229196,333604,1273843,219234,719155,557673,1149348,234959,285244,593552,675492,1239926,1861659,1621942,1203452,451770,296008,1291526,396390,6287772,224011,241687,456982,2300107,1261110,590727,2890702,1032420,2923161,762017,1198148,697110,3013683,475984,390330,599143,1797394
1563888,388857,2961117,957127,607752,296031,5304503,588869,1052147,778546,1253619,479671,1085711,1892982,2950248,377105,524572,832767,1189384,1858132,547188,933659,2319196,3089832,2572954,2233201,8290690,426076,610332,151405,2117880,1035051,8737936,1467601,858759,832834,453228,1791078,531602,5379034,307316,2709802,2469571,1957594,2089250,2733801,1311715,966757,2538529,1526699
674688,1085349,1820557,657150,352151,130867,1729202,425143,1102415,486383,746569,757854,881381,519757,1049512,976424,148119,663611,287001,1065250,373345,779849,881349,1554292,1404453,1723958,4575346,659660,477757,271734,386233,1191543,4539989,648622,468966,338250,861509,603664,518628,4580210,537600,2383146,786522,489378,1663246,286251,982210,698249,410582,624000
312586,522490,5668212,880110,165063,344242,1549208,140342,1981149,896833,1643175,596214,1853966,909107,369351,677313,114672,2950115,213337,492942,175093,172298,559327,1682725,1685525,1296975,1126045,488277,217784,489178,1150153,588278,2426425,382318,271083,276341,598990,1269418,848597,3906125,251516,2794751,927016,958817,763553,1454117,1417511,239959,1030777,1148655
2188478,220119,3565220,1688236,437006,917776,3422176,598341,1747977,915918,1971144,989579,5853875,1191169,2315387,1967111,312599,735377,1181609,1367756,321223,1341317,1575362,6109334,803453,4990534,6417902,465022,1696332,607451,1372195,1265959,2828114,1239131,441506,712178,749049,1699999,1183300,20946739,408207,5580992,3134353,1637952,1858398,1411027,1363510,1270194,3227229,2036730
1161298,504716,1697194,485881,427901,191613,2495490,102606,1185030,1734922,779035,346385,2055841,378415,322206,1574777,258513,884912,968507,496736,310950,716903,653995,2187562,468980,1160663,849649,186267,827390,248445,627350,489878,4180864,800108,1152657,624655,474812,994790,706565,2788606,368295,985651,743482,876424,309377,420857,1229272,1187970,1127252,890877
2072250,462395,964541,613929,381030,189337,910788,175638,903076,588863,1931108,395471,2233746,607167,349792,784896,196841,1816633,727908,791279,124884,562952,904937,1062891,773755,3976307,1358476,616833,837116,209427,340329,2074047,6127371,763287,488920,1120161,1284283,985309,737324,6448705,133127,1577388,761937,975801,1309136,1027194,3658072,467778,1199743,891059
1680951,295556,3923222,678992,272985,632992,1472324,127196,970390,1485734,2161735,562946,2086021,344361,3029750,363452,117608,708950,287526,552643,219132,403887,809508,1177942,947828,1103140,2285029,682718,326180,169809,245940,983042,6968373,645514,472259,434925,619930,1484460,465720,3261256,465149,1927408,2103933,559931,3960075,858251,1782612,316343,1081141,597858
1035918,470248,1461348,904663,406056,164446,2097459,60274,1361531,599986,779795,381559,539303,401835,770408,1407287,195850,551435,353696,694234,327071,366149,329147,1502339,804654,1279593,2942153,226965,200727,611901,455355,476396,6823996,451611,737777,534325,850336,2276309,718271,908647,348766,1098883,1201420,675939,2739734,641475,403211,319140,658627,1130839
1555319,1121178,1760563,1018394,454149,245223,1719365,68084,1783121,655261,2692686,413126,2130738,708549,677161,1039721,173791,1528689,176875,630640,137877,843276,368633,2228627,1013442,1444929,1544475,316541,246655,601446,575506,1282246,3013335,517916,331038,336404,455643,1079765,1606362,3444741,484359,4611581,1475653,858763,2171092,625530,470961,1053392,1044328,1628030
1508358,313769,2723482,917065,399203,172526,1307001,103019,1074524,271549,2254272,438996,1118343,428921,1138793,2198229,301126,1094227,490196,736456,319490,874043,579558,2376758,901582,3534006,1374739,749420,652096,596432,676845,1175148,2122148,360934,359704,536827,1666029,781877,693743,2626957,446237,3063042,2422550,983588,1218349,1102314,1153841,1299072,715491,446303
1165830,532241,4704166,2325880,715304,278611,8513998,376490,1452743,5346910,1885328,1786745,3440650,2025761,1650696,1062600,661339,1072587,1056189,2083509,1251274,800362,1231020,1240237,3132204,2287778,3012882,537812,411441,454273,819799,1712983,7277797,510824,1463286,171214,422588,792327,2013140,6268298,193052,10402455,5247541,3351270,1738218,808762,1478501,4771228,1418393,1070677
1092325,474004,3320291,494349,163758,60746,1444158,274772,3758533,417870,2942653,507478,3532910,334766,686513,976130,172902,812013,949485,371163,233855,310631,829919,1211122,979277,2330743,1171781,172588,442790,531528,503767,1888852,2820682,1079044,1161481,821753,463395,606958,690784,4798417,649203,2758256,972903,687870,1343794,2135674,944569,1075509,921373,2618269
1099225,862733,4038886,1441248,751149,475384,719609,295841,2851963,922406,2601824,703633,1485954,362277,1269508,679572,245328,2550189,400596,1456617,226053,355646,521083,1885269,978626,1898881,7663170,436982,886764,774058,665200,789743,8159825,618622,765507,294793,450103,945217,1064285,1436929,357940,3384965,4696351,511864,657349,1149756,1639396,924358,1365271,1447817
2816607,970638,2196683,1315085,317050,200365,947533,290113,776134,396468,937933,777851,674241,384721,789135,584827,162221,888668,659002,616448,231795,730880,404878,2334638,1081086,2537321,1827982,290387,1202567,348283,699779,674153,2171608,912513,351347,929612,861795,1624050,1188477,4261934,603870,1281381,1502139,618773,4699445,800571,722219,254624,2008461,732327
378596,355275,1012011,750060,602986,331930,2236085,172431,1064189,474116,2788691,341410,3712398,821329,155958,600063,109802,654664,1081977,1184139,304809,510188,621626,1363613,1083037,1783588,1703064,390148,1243313,425751,292430,626270,10198382,815195,451643,570857,1913139,1151659,941899,2637786,382768,1632561,908953,784483,1746503,580954,776192,698126,2585025,1050976
1870016,626736,2509265,1871343,377616,267774,570293,104312,2569589,1945236,1244201,345667,1557988,303474,451456,593908,166855,2023847,755191,745273,407206,620808,511789,1695134,636929,2699521,7280535,714753,639632,281299,224104,646385,2976707,509435,657797,515003,631049,705229,1570354,3462092,876262,2853110,791246,953487,1184527,837569,803366,452060,5344151,1079551
2622247,1031932,697462,2154686,521519,349245,1742952,121609,3886210,1281842,2369978,680168,730635,777562,1725029,1670536,84861,824335,547250,453217,146494,541367,690383,3341822,1526203,2498859,6554112,357571,416217,210273,1049638,354300,8908562,650259,931202,957207,766841,399815,1008644,4207864,649234,1985720,1142751,2419766,1798811,2034700,1308196,1503443,754424,726781
931033,1264537,2588997,1103234,784586,363009,1399413,265994,1311191,2637169,928170,2465586,1622973,383195,1197350,1519408,542721,1757213,745273,2678523,235508,1193328,1281162,1467669,2825094,2229865,5249828,723479,1700538,524804,413324,837708,7690476,786579,543181,1589007,603871,3149971,728662,8431144,604350,1548688,949750,304585,3733414,1154851,4312406,1432505,1345424,920479
1234031,374062,1724223,1978609,383284,875888,1724390,147107,1056675,1138202,992190,204919,967650,1207132,540594,570817,156680,612689,1097002,589162,359232,254960,181523,720839,833276,888512,1370039,94978,791439,515438,378048,533204,3344556,479859,919744,641541,1516711,855779,467294,4565154,484477,1427881,3975015,1694558,2205192,1031934,800520,1202820,1657776,636092
1066993,682746,2161124,726657,404692,124679,1644726,122684,1402637,669068,1315820,1017423,1902382,386393,844115,512939,215004,2108634,208903,707122,364554,331187,442461,729079,755343,580607,1079353,2125175,274687,633511,480965,569001,5483366,558251,401519,371938,272487,741274,967599,5853375,625847,5140567,1093786,347161,1367512,3272964,711981,1052334,579055,481398
2034052,425752,1438325,703181,474322,294357,2504782,92206,1358666,380686,3913264,867509,1744972,386207,456278,707642,178130,753431,1985339,1563481,247489,756403,533935,1766961,625982,5198767,1361230,412861,147529,298696,579064,2272130,2104418,1548844,1231628,300129,1003065,1660663,1521573,2137908,328097,2938771,2542064,1257060,4771712,1243979,780339,2224745,448589,932009
2161854,556902,2991142,1196376,327688,174659,1716039,294370,5995835,1683962,1490858,544746,2527873,1519347,1789699,990228,321754,2047920,1927985,1214377,1171953,1215983,2494216,4538578,1015588,1450766,5230045,1091064,1061623,485845,1440042,768900,2905924,253970,705285,561485,1178017,1248056,1321640,10948779,816693,9504663,3865673,200606,2816568,2361464,2709086,2449754,1264972,1521505
2971636,461684,1343504,625985,600766,161636,3215777,522978,875122,1599254,536331,337455,1773808,418173,495672,969838,150604,518984,1116413,811957,682062,1310214,435810,2841377,1066064,707926,1020272,166058,261149,161541,1545774,339924,2092899,360368,1219829,1324153,1627184,1022302,1058543,5452757,509093,4347723,653525,1464933,1219348,956484,600360,446359,811321,833814
1898240,1619061,1215457,461347,350598,154880,2464753,86497,704316,440347,2500634,347205,3272408,763102,622519,775248,72948,1663291,335991,572662,431565,443892,852586,2312667,2440994,1755908,1234210,347290,183460,634711,830116,1119699,4061415,795894,395662,280731,354777,602829,1109270,1160835,972295,1627215,1050336,367812,991322,1459506,1663821,1394744,879424,428339
464469,423232,4092785,1049038,359033,74066,3642572,198219,4806122,407524,2114801,274612,1413072,396415,367612,1003968,242433,2048862,155783,501578,273455,963284,595789,1797375,1404791,3278762,828145,373456,454863,278408,701780,980313,9700401,503236,440167,488747,860555,1645089,413728,8099023,422838,2566308,958022,747726,850823,524113,1178624,1577593,309295,693236
526827,511353,5454037,2031899,269647,83454,1503919,175527,2128215,307241,2069142,1146722,2616513,960587,858898,1201010,167970,888802,541504,523836,244067,1003672,1771079,712078,1020472,1529294,2163811,334035,171462,247870,480792,574670,4126716,352702,646711,303645,1306394,2183240,949622,2041562,174637,3200084,2428047,622635,852952,1753484,1845398,608732,508860,985066
1345467,652006,7560212,2205989,208122,139320,1772850,170083,7373447,1433765,553922,538626,1062587,1270210,657602,684123,107737,1927361,369343,579063,441367,175702,1310948,2035773,783375,3452580,2284169,257571,748439,456079,575728,1129444,13033847,250218,491686,955476,465081,559885,348697,5696219,308770,3825667,764690,630581,932441,895521,3969030,651221,1611570,588085
3115057,626219,2481299,5251912,505585,271300,1735409,208206,5658996,859367,984551,696677,3079426,987800,850686,1229269,294978,1745952,1494115,621009,492174,441601,1242448,2350118,2779852,4352110,6843725,1226671,352544,193556,807109,1428408,9324267,500629,274428,628109,329360,1269944,683515,3933323,994409,4170365,1574658,936895,1443835,2199288,3552088,1219091,889787,814580
677358,854529,1751796,826269,625902,528130,3812521,124995,1427667,1453669,862307,338537,6150508,1128732,2202831,1069383,108608,1173506,616680,1880541,1220574,1042812,1712400,4395796,4375923,2399251,1791801,422684,638897,311218,717201,472478,6169996,307505,513811,733749,726726,1174113,1360631,3286632,1142826,1275078,659968,1203672,781291,543816,3733916,1313205,2952641,793237
1074385,486189,8558418,619141,604223,109849,5129947,264182,749590,796379,1271627,487670,1940604,973497,649002,3080311,113370,724141,444497,604113,139414,988139,596324,761184,1718926,2408738,2003452,727877,672620,427939,534519,920775,2590217,515971,654050,1176561,402912,676747,803515,2937884,723848,2143329,2207667,498492,1515748,289706,804406,646698,1303614,874904
1459687,174791,4945102,1309849,404145,139371,962531,278710,1389493,1368124,1174486,643535,1363912,441063,184829,1056154,102503,777307,1279723,805740,216697,522734,228427,2089488,1170270,3733202,2387189,270059,1443336,1056149,486387,394495,7658448,684267,398342,824412,466078,2322612,856610,9744798,862007,2994604,2436762,916219,857675,784686,1311250,462660,1168073,622644
2440711,1080828,7576984,3102688,1198763,763417,4387156,435160,2578217,1584059,3320453,3122838,3404392,294923,1572705,1171747,520172,1817552,3602900,2523081,786157,1188240,1218037,3477362,6204143,6732910,3762756,2747463,1142567,1219539,1277879,465626,11850279,941834,2410430,615431,1503185,3281239,2187241,31955261,1345622,5757219,3047363,3356833,4030736,3244261,1873161,1045481,4758190,1912925
1248751,306194,3903965,486756,464495,152855,1956360,261816,847633,440235,1970710,654814,2188248,329446,364459,841818,105314,589470,526554,2168969,310399,360607,674070,1057614,3145229,1809331,3683621,314818,724094,368850,1337997,796897,1267202,1032976,466948,563994,1194600,574688,785592,8317030,581682,1317645,1096372,632299,1482052,553388,1063083,551974,1183102,885817
648559,350180,4691562,3261668,567485,294756,4933844,143581,1279121,1212766,1434634,385404,4295792,1155424,2875240,428619,530905,2256840,486301,1648156,787708,1435812,1727290,4639911,828713,2273944,2930455,1045864,542982,483317,2208367,875448,6476378,1167440,563251,561665,1305706,2418685,387015,4619828,900494,4691321,1638830,2912145,2134956,3331534,3263416,2074074,882565,1214585
1080990,898905,1747113,709358,517226,156062,4693092,421322,1265379,682914,1005810,253887,834550,404080,630155,837860,153014,458188,853359,983964,512472,394441,1354274,960777,763098,2149795,2097768,364687,260131,160878,598788,1948255,10442178,364546,227408,660795,603208,1285917,1151058,2220674,348146,972929,2077156,1294594,1282904,2105271,1112729,343215,685995,1195883
409261,390145,1867943,412570,286431,242544,1844592,231414,1370830,967888,1595443,332247,2785030,485974,678047,1487741,111590,614521,377675,879492,487578,633769,957006,1082865,980183,1575653,803824,241450,459509,251534,712102,1156946,4997820,571317,641311,489857,605403,584728,1254855,1923784,370110,1836477,2233131,1462947,517660,2063350,1430438,1578746,842239,1497455
1631252,604067,2292067,367470,1270422,164211,1761987,261577,2810929,1753468,909800,1424793,853436,344471,1135640,961360,133008,1111803,1135374,1136750,208276,531750,882203,2153998,1507601,3299039,3160139,850716,361316,351064,361707,1511177,5661491,1106612,100416,637267,441147,851759,532515,4163167,608343,1768152,679357,1496275,1362735,2040074,644113,995453,572511,1767068
697663,337897,2696652,1123173,1236475,259995,2089641,333039,694570,563630,1479980,411401,1209416,685519,1001875,554264,298818,1606580,606772,622017,609436,687809,1250029,2606435,2733270,1637491,1630707,576226,524094,111377,475979,1197726,4995329,764254,215554,262901,324361,2100987,348101,5820720,357563,2229755,1050986,428276,1807653,1224029,1179488,2590603,665274,1193490
656743,1194803,4061874,1419991,1056783,204685,1614703,112568,1646658,1064825,2211548,615702,986652,158134,305552,459591,300686,498046,284628,539634,196344,940917,2309675,3024573,1913393,1060135,1847107,612722,259769,234096,467085,761947,5245691,582225,777859,376613,979588,730217,388077,3426302,378590,3227115,822072,608944,2385887,2365661,538098,1318911,1214773,409576
1721514,335452,1017342,608014,386625,148379,2168321,70074,4337486,300928,2964806,400516,1455433,884060,853759,499067,137191,323456,570719,444315,617722,279531,271350,1354447,1825589,8571527,2568314,152375,358356,880536,855629,622139,4261326,358747,732828,386809,842264,1912188,560426,3872727,449332,961772,698457,1761607,849434,706142,714994,616736,2356773,237743
1106230,948847,5086443,969754,583196,230934,3709629,272981,2722202,1509488,495483,367620,1774936,1574857,341098,1333584,90522,3648217,1049707,384629,221354,613016,807960,1558278,624581,2700554,2831322,629192,1352091,203581,1514934,674791,3306798,269091,388228,437702,901732,494348,787412,8802108,654100,2296564,3221630,561957,1338253,511126,1224207,433169,1074117,654594
1416438,479898,897965,685857,326822,85480,3148790,146277,1615443,944547,1514000,1678175,675437,811396,891865,477527,190317,3347708,587126,171193,194716,968919,455993,1773584,1611683,2418750,1189125,1167582,600915,465684,458723,879753,1482776,1016497,304845,363570,319855,991204,431537,6163479,215546,1722311,2916514,571321,868911,370015,732838,2090861,564367,1775819
2310654,407360,2350886,890152,736305,95472,2635231,90821,1396458,380204,1021456,441153,752847,404347,379133,646512,320579,1494571,507303,996608,153501,683750,279245,739407,3311725,2572158,3285116,743298,442387,364638,295626,732990,11500598,332405,513695,680237,864744,1875070,604070,3882873,295919,5247940,1253192,340704,449343,469936,739665,935299,889189,578946
1481087,769469,6656044,1741493,399621,247804,2744935,561420,2091918,914397,709944,380320,3664821,499163,931010,304126,241169,1244347,1039540,296289,308057,236280,1982654,2389660,2376491,1677487,4505626,754518,1016566,352333,767443,788127,7710426,2874522,775864,615038,912137,7112507,1247949,5110116,488768,3999450,1510360,715003,1084868,972442,970492,727436,993716,446398
2694296,450281,1435999,439403,1027759,278437,3528522,146732,2954192,897236,1742333,736940,2779974,1042341,1815437,1592606,108850,1427587,743067,654164,212458,1185914,1947549,1056052,1284538,5749755,1448513,282658,419069,628221,910927,1648754,6363410,357534,448698,848632,1057781,1400567,717883,8320541,601030,5013632,1768442,1398621,3130014,832920,1042139,893104,569928,1299191
793930,809012,2398307,1462879,336853,303030,1309355,185955,872948,869719,1819093,346891,782611,1057922,624426,1082345,277635,765799,1169628,586517,147038,565351,1139173,3320668,1064774,1196788,3713517,383614,548105,246957,349929,854386,3561796,399094,1397796,523580,401576,745720,974354,1794889,333030,8441598,1417747,720095,1123207,903993,891120,944960,1131598,491027
2035016,263830,2578134,2093408,473268,414165,4060158,325565,1064903,712029,2711665,1862863,9827861,966411,710597,442148,138380,904786,775020,1537275,499957,656643,1873630,673976,1382568,895349,3449460,2443994,298338,568592,2842955,642004,3714861,877474,934920,420968,1883223,1422836,386719,3781593,414113,2271627,1106936,832952,4006209,2836271,4965924,402529,1498003,1679758
1969286,521212,1634063,430376,184843,77273,2928444,221767,2966955,422950,2951594,503485,1338678,1137682,940534,923549,81099,863093,475430,598342,294738,519222,658837,1117866,545850,1352165,1587197,438291,474922,99246,257725,555954,4465511,578428,212657,540363,315843,3368087,2271138,1961480,537530,1382217,1275084,605404,426553,797734,1868951,1101387,726250,396939
